Country,GrossDomesticProduct,Population,Continent,Total
AUS,48889.9299,23.491,Oceania,1197069.934
BEL,46760.34655,11.22728,Europe,528158.6136
CAN,44025.18155,35.54,North-America,1597516.449
CZE,35127.44029,10.52478,Europe,371131.3828
FIN,43363.48175,5.472,Europe,238295.3413
FRA,41489.89783,64.06225,Europe,2773931.589
DEU,48989.49173,80.896,Europe,4041192.163
HUN,27007.63449,9.863,Europe,265053.5461
ISL,51122.40067,0.3273855,Europe,17180.194
IRL,72772.02423,4.6099,Europe,340821.5898
ITA,38328.09734,60.44791,Europe,2323736.722
KOR,35750.56558,50.424,Asia,1832073.484
LUX,103352.1639,0.5497,Europe,60370.5827
MEX,18579.42662,119.713,North-America,2271762.231
NZL,38822.98868,4.5097,Oceania,183244.5066
NOR,59349.98037,5.137,Europe,310756.4972
POL,27574.63528,38.484,Europe,1059610.51
ESP,36443.18554,46.46405,Europe,1693445.663
TUR,24807.22666,76.90287,Europe,1941093.545
GBR,43123.84948,63.65001,Europe,2827717.058
USA,57591.19765,318.857,North-America,18624475
CHL,23477.54375,17.81905,South-America,429122.5447
COL,14129.60042,47.66179,South-America,688818.0205
EST,29633.14077,1.315819,Europe,38994.2499
SVN,33424.74062,2.061623,Europe,69009.7222
ZAF,13328.9122,54.002,Africa,742492.3859
